ts_utc,n_samples,n_out_of_range,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_avg,battery_v_min,battery2_v_min,power_w_avg,power_w_max,temp_c_avg,current_a_avg,energy_wh,scaled_channels
2020-06-18T09:00:00Z,1.0,1.0,,,,,,,0.744,,,,,,battery2_v
2020-06-19T11:00:00Z,5.0,5.0,,,,,,,12.583,,,,,,battery2_v
2020-06-19T12:00:00Z,19.0,19.0,,,,,,,12.313,,,,,,battery2_v
2020-06-19T13:00:00Z,29.0,29.0,,,,,,,12.261,,,,,,battery2_v
2020-06-19T14:00:00Z,30.0,30.0,,,,,,,12.233,,,,,,battery2_v
2020-06-19T15:00:00Z,30.0,30.0,,,,,,,12.204,,,,,,battery2_v
2020-06-19T16:00:00Z,29.0,29.0,,,,,,,12.185,,,,,,battery2_v
2020-06-19T17:00:00Z,30.0,30.0,,,,,,,12.181,,,,,,battery2_v
2020-06-19T18:00:00Z,29.0,29.0,,,,,,,12.176,,,,,,battery2_v
2020-06-19T19:00:00Z,30.0,30.0,,,,,,,12.176,,,,,,battery2_v
2020-06-19T20:00:00Z,29.0,29.0,,,,,,,12.171,,,,,,battery2_v
2020-06-19T21:00:00Z,30.0,30.0,,,,,,,12.578,,,,,,battery2_v
2020-06-19T22:00:00Z,29.0,29.0,,,,,,,12.573,,,,,,battery2_v
2020-06-19T23:00:00Z,30.0,30.0,,,,,,,12.573,,,,,,battery2_v
2020-06-20T00:00:00Z,29.0,29.0,,,,,,,12.181,,,,,,battery2_v
2020-06-20T01:00:00Z,30.0,30.0,,,,,,,12.157,,,,,,battery2_v
2020-06-20T02:00:00Z,30.0,30.0,,,,,,,12.171,,,,,,battery2_v
2020-06-20T03:00:00Z,28.0,28.0,,,,,,,12.294,,,,,,battery2_v
2020-06-20T04:00:00Z,30.0,30.0,,,,,,,12.374,,,,,,battery2_v
2020-06-20T05:00:00Z,29.0,29.0,,,,,,,12.493,,,,,,battery2_v
2020-06-20T06:00:00Z,30.0,30.0,,,,,,,12.27,,,,,,battery2_v
2020-06-20T07:00:00Z,29.0,29.0,,,,,,,12.389,,,,,,battery2_v
2020-06-20T08:00:00Z,30.0,30.0,,,,,,,12.351,,,,,,battery2_v
2020-06-20T09:00:00Z,29.0,29.0,,,,,,,12.171,,,,,,battery2_v
2020-06-20T10:00:00Z,28.0,28.0,,,,,,,12.162,,,,,,battery2_v
2020-06-20T11:00:00Z,29.0,29.0,,,,,,,12.152,,,,,,battery2_v
2020-06-20T12:00:00Z,30.0,30.0,,,,,,,12.545,,,,,,battery2_v
2020-06-20T13:00:00Z,29.0,29.0,,,,,,,12.545,,,,,,battery2_v
2020-06-20T14:00:00Z,29.0,29.0,,,,,,,12.54,,,,,,battery2_v
2020-06-20T15:00:00Z,28.0,28.0,,,,,,,12.535,,,,,,battery2_v
2020-06-20T16:00:00Z,28.0,28.0,,,,,,,12.531,,,,,,battery2_v
2020-06-20T17:00:00Z,30.0,30.0,,,,,,,12.526,,,,,,battery2_v
2020-06-20T18:00:00Z,28.0,28.0,,,,,,,12.531,,,,,,battery2_v
2020-06-20T19:00:00Z,30.0,30.0,,,,,,,12.521,,,,,,battery2_v
2020-06-20T20:00:00Z,29.0,29.0,,,,,,,12.521,,,,,,battery2_v
2020-06-20T21:00:00Z,29.0,29.0,,,,,,,12.516,,,,,,battery2_v
2020-06-20T22:00:00Z,30.0,30.0,,,,,,,12.512,,,,,,battery2_v
2020-06-20T23:00:00Z,29.0,29.0,,,,,,,12.502,,,,,,battery2_v
2020-06-21T00:00:00Z,16.0,16.0,,,,,,,12.119,,,,,,battery2_v
2020-06-21T06:00:00Z,7.0,7.0,,,,,,,12.488,,,,,,battery2_v
2020-06-21T07:00:00Z,17.0,17.0,,,,,,,12.483,,,,,,battery2_v
2020-06-21T08:00:00Z,29.0,29.0,,,,,,,12.479,,,,,,battery2_v
2020-06-21T09:00:00Z,30.0,30.0,,,,,,,12.479,,,,,,battery2_v
2020-06-21T10:00:00Z,26.0,26.0,,,,,,,12.228,,,,,,battery2_v
2020-06-21T11:00:00Z,30.0,30.0,,,,,,,12.176,,,,,,battery2_v
2020-06-21T12:00:00Z,29.0,29.0,,,,,,,12.474,,,,,,battery2_v
2020-06-21T13:00:00Z,29.0,29.0,,,,,,,12.474,,,,,,battery2_v
2020-06-21T14:00:00Z,29.0,29.0,,,,,,,12.469,,,,,,battery2_v
2020-06-21T15:00:00Z,30.0,30.0,,,,,,,12.46,,,,,,battery2_v
2020-06-21T16:00:00Z,28.0,28.0,,,,,,,12.455,,,,,,battery2_v
2020-06-21T17:00:00Z,30.0,30.0,,,,,,,12.45,,,,,,battery2_v
2020-06-21T18:00:00Z,26.0,26.0,,,,,,,12.45,,,,,,battery2_v
2020-06-21T19:00:00Z,30.0,30.0,,,,,,,12.445,,,,,,battery2_v
2020-06-21T20:00:00Z,30.0,30.0,,,,,,,12.441,,,,,,battery2_v
2020-06-21T21:00:00Z,29.0,29.0,,,,,,,12.441,,,,,,battery2_v
2020-06-21T22:00:00Z,30.0,30.0,,,,,,,12.441,,,,,,battery2_v
2020-06-21T23:00:00Z,27.0,27.0,,,,,,,12.431,,,,,,battery2_v
2020-06-22T00:00:00Z,30.0,30.0,,,,,,,12.166,,,,,,battery2_v
2020-06-22T01:00:00Z,29.0,29.0,,,,,,,12.062,,,,,,battery2_v
