day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,power_w_avg,power_w_max,energy_wh,temp_c_min,temp_c_avg,temp_c_max,boot_count_max,scaled_channels
2020-06-15,2020-06-15T00:00:00Z,621.0,621.0,22.0,,,0.715,5.323,,,,,0.0,0.0,0.0,28.6,32.565,51.1,633.0,solar2_v
2020-06-16,2020-06-16T00:00:00Z,699.0,699.0,24.0,,,0.986,4.957,,,,,0.0,0.0,0.0,27.3,33.361,53.2,1339.0,solar2_v
2020-06-17,2020-06-17T00:00:00Z,689.0,689.0,24.0,,,0.806,5.312,,,,,0.0,0.0,0.0,20.4,24.618,35.0,2045.0,solar2_v
2020-06-18,2020-06-18T00:00:00Z,700.0,700.0,24.0,,,1.192,5.402,,,,,0.0,0.0,0.0,23.3,24.02,24.5,2751.0,solar2_v
2020-06-19,2020-06-19T00:00:00Z,706.0,706.0,24.0,,,0.627,5.31,,,,,0.0,0.0,0.0,23.7,24.132,24.6,3458.0,solar2_v
2020-06-20,2020-06-20T00:00:00Z,701.0,701.0,24.0,,,1.197,5.116,,,,,0.0,0.0,0.0,23.3,27.588,33.7,4165.0,solar2_v
2020-06-21,2020-06-21T00:00:00Z,696.0,696.0,24.0,,,0.666,5.308,,,,,0.0,0.0,0.0,29.5,32.979,49.8,4871.0,solar2_v
2020-06-22,2020-06-22T00:00:00Z,694.0,694.0,24.0,,,1.202,5.353,,,,,0.0,0.0,0.0,30.2,36.749,52.9,5577.0,solar2_v
2020-06-23,2020-06-23T00:00:00Z,694.0,694.0,24.0,,,1.253,5.407,,,,,0.0,0.0,0.0,31.4,37.863,55.6,6283.0,solar2_v
2020-06-24,2020-06-24T00:00:00Z,695.0,695.0,24.0,,,1.149,5.325,,,,,0.0,0.0,0.0,28.5,35.431,52.5,6989.0,solar2_v
2020-06-25,2020-06-25T00:00:00Z,690.0,690.0,24.0,,,0.618,5.364,,,,,0.0,0.0,0.0,29.0,32.161,46.7,7694.0,solar2_v
2020-06-26,2020-06-26T00:00:00Z,692.0,692.0,24.0,,,1.354,5.167,,,,,0.0,0.0,0.0,29.2,36.023,51.8,8398.0,solar2_v
2020-06-27,2020-06-27T00:00:00Z,691.0,691.0,24.0,,,1.117,5.533,,,,,0.0,0.0,0.0,28.6,34.884,51.6,9103.0,solar2_v
2020-06-28,2020-06-28T00:00:00Z,694.0,694.0,24.0,,,0.812,5.238,,,,,0.0,0.0,0.0,26.1,31.373,46.1,9808.0,solar2_v
2020-06-29,2020-06-29T00:00:00Z,687.0,687.0,24.0,,,0.43,5.033,,,,,0.0,0.0,0.0,27.4,29.286,38.6,10512.0,solar2_v
2020-06-30,2020-06-30T00:00:00Z,644.0,644.0,24.0,,,0.736,5.444,,,,,0.0,0.0,0.0,28.6,32.294,47.7,11205.0,solar2_v
2020-07-01,2020-07-01T00:00:00Z,655.0,655.0,24.0,,,0.785,5.405,,,,,0.0,0.0,0.0,28.7,32.426,47.1,11894.0,solar2_v
2020-07-02,2020-07-02T00:00:00Z,646.0,646.0,24.0,,,1.091,5.32,,,,,0.0,0.0,0.0,27.4,33.809,50.6,12587.0,solar2_v
2020-07-03,2020-07-03T00:00:00Z,671.0,671.0,24.0,,,0.638,5.241,,,,,0.0,0.0,0.0,28.5,31.356,37.8,13286.0,solar2_v
2020-07-04,2020-07-04T00:00:00Z,680.0,680.0,24.0,,,1.108,5.169,,,,,0.0,0.0,0.0,29.8,34.93,49.3,13987.0,solar2_v
2020-07-05,2020-07-05T00:00:00Z,692.0,692.0,24.0,,,0.595,5.6,,,,,0.0,0.0,0.0,27.0,30.852,50.3,14690.0,solar2_v
2020-07-06,2020-07-06T00:00:00Z,696.0,696.0,24.0,,,0.567,5.351,,,,,0.0,0.0,0.0,27.4,30.793,39.1,15396.0,solar2_v
2020-07-07,2020-07-07T00:00:00Z,700.0,700.0,24.0,,,1.224,5.43,,,,,0.0,0.0,0.0,29.6,35.187,48.7,16103.0,solar2_v
2020-07-08,2020-07-08T00:00:00Z,697.0,697.0,24.0,,,0.603,5.236,,,,,0.0,0.0,0.0,26.2,30.203,47.3,16808.0,solar2_v
2020-07-09,2020-07-09T00:00:00Z,700.0,700.0,24.0,,,1.065,5.244,,,,,0.0,0.0,0.0,29.6,35.296,48.4,17515.0,solar2_v
2020-07-10,2020-07-10T00:00:00Z,693.0,693.0,24.0,,,1.164,5.213,,,,,0.0,0.0,0.0,29.2,35.342,50.6,18220.0,solar2_v
2020-07-11,2020-07-11T00:00:00Z,698.0,698.0,24.0,,,1.25,5.42,,,,,0.0,0.0,0.0,30.0,35.666,50.6,18926.0,solar2_v
2020-07-12,2020-07-12T00:00:00Z,693.0,693.0,24.0,,,1.097,5.548,,,,,0.0,0.0,0.0,29.1,35.4,54.3,19631.0,solar2_v
2020-07-13,2020-07-13T00:00:00Z,695.0,695.0,24.0,,,0.845,5.351,,,,,0.0,0.0,0.0,29.6,33.794,49.7,20337.0,solar2_v
2020-07-14,2020-07-14T00:00:00Z,692.0,692.0,24.0,,,1.227,5.561,,,,,0.0,0.0,0.0,26.7,35.156,50.8,21043.0,solar2_v
2020-07-15,2020-07-15T00:00:00Z,689.0,689.0,24.0,,,1.093,5.351,,,,,0.0,0.0,0.0,28.2,34.554,46.7,21748.0,solar2_v
2020-07-16,2020-07-16T00:00:00Z,390.0,390.0,14.0,,,1.855,5.59,,,,,0.0,0.0,0.0,29.8,42.843,63.3,21938.0,solar2_v
2020-09-04,2020-09-04T00:00:00Z,486.0,486.0,17.0,,,0.0,0.0,,,,,0.0,0.0,0.0,30.8,32.721,35.5,486.0,solar2_v
2020-09-05,2020-09-05T00:00:00Z,700.0,700.0,24.0,,,0.124,2.048,,,,,0.0,0.0,0.0,30.1,32.387,40.7,697.0,solar2_v
2020-09-06,2020-09-06T00:00:00Z,705.0,705.0,24.0,,,0.537,3.39,,,,,0.0,0.0,0.0,28.1,33.771,42.8,1233.0,solar2_v
2020-09-07,2020-09-07T00:00:00Z,705.0,705.0,24.0,,,0.488,2.324,,,,,0.0,0.0,0.0,30.0,33.674,40.6,1940.0,solar2_v
2020-09-08,2020-09-08T00:00:00Z,706.0,706.0,24.0,,,0.617,2.114,,,,,0.0,0.0,0.0,30.6,34.375,40.9,2647.0,solar2_v
2020-09-09,2020-09-09T00:00:00Z,706.0,706.0,24.0,,,0.428,2.02,,,,,0.0,0.0,0.0,29.2,32.268,40.7,3353.0,solar2_v
2020-09-10,2020-09-10T00:00:00Z,704.0,704.0,24.0,,,0.498,2.414,,,,,0.0,0.0,0.0,29.0,33.321,40.6,4060.0,solar2_v
2020-09-11,2020-09-11T00:00:00Z,697.0,697.0,24.0,,,0.388,1.574,,,,,0.0,0.0,0.0,30.0,33.501,40.7,4766.0,solar2_v
2020-09-12,2020-09-12T00:00:00Z,707.0,707.0,24.0,,,0.488,2.24,,,,,0.0,0.0,0.0,27.2,32.223,40.2,5473.0,solar2_v
2020-09-13,2020-09-13T00:00:00Z,704.0,704.0,24.0,,,0.393,1.912,,,,,0.0,0.0,0.0,27.0,30.405,37.0,6180.0,solar2_v
2020-09-14,2020-09-14T00:00:00Z,700.0,700.0,24.0,,,0.442,2.273,,,,,0.0,0.0,0.0,27.7,30.937,39.1,6887.0,solar2_v
2020-09-15,2020-09-15T00:00:00Z,705.0,705.0,24.0,,,0.441,1.859,,,,,0.0,0.0,0.0,28.7,32.335,38.6,7594.0,solar2_v
2020-09-16,2020-09-16T00:00:00Z,693.0,693.0,24.0,,,0.482,1.818,,,,,0.0,0.0,0.0,30.0,33.443,39.4,8300.0,solar2_v
2020-09-17,2020-09-17T00:00:00Z,701.0,701.0,24.0,,,0.521,1.932,,,,,0.0,0.0,0.0,28.7,32.83,39.9,9007.0,solar2_v
2020-09-18,2020-09-18T00:00:00Z,695.0,695.0,24.0,,,0.49,2.046,,,,,0.0,0.0,0.0,26.5,30.474,36.7,9714.0,solar2_v
2020-09-19,2020-09-19T00:00:00Z,695.0,695.0,24.0,,,0.291,2.16,,,,,0.0,0.0,0.0,26.2,28.327,35.5,10420.0,solar2_v
2020-09-20,2020-09-20T00:00:00Z,699.0,699.0,24.0,,,0.425,2.086,,,,,0.0,0.0,0.0,27.7,31.335,40.7,11127.0,solar2_v
2020-09-21,2020-09-21T00:00:00Z,698.0,698.0,24.0,,,0.473,1.914,,,,,0.0,0.0,0.0,29.6,32.875,39.4,11833.0,solar2_v
2020-09-22,2020-09-22T00:00:00Z,683.0,683.0,24.0,,,0.367,1.756,,,,,0.0,0.0,0.0,26.7,31.788,41.9,12536.0,solar2_v
2020-09-23,2020-09-23T00:00:00Z,695.0,695.0,24.0,,,0.331,1.874,,,,,0.0,0.0,0.0,28.6,31.44,40.1,13243.0,solar2_v
2020-09-24,2020-09-24T00:00:00Z,702.0,702.0,24.0,,,0.304,1.786,,,,,0.0,0.0,0.0,26.1,31.025,41.2,13950.0,solar2_v
2020-09-25,2020-09-25T00:00:00Z,695.0,695.0,24.0,,,0.548,2.023,,,,,0.0,0.0,0.0,28.3,32.539,39.3,14658.0,solar2_v
2020-09-26,2020-09-26T00:00:00Z,700.0,700.0,24.0,,,0.443,1.963,,,,,0.0,0.0,0.0,26.1,31.148,37.9,15364.0,solar2_v
2020-09-27,2020-09-27T00:00:00Z,703.0,703.0,24.0,,,0.42,2.092,,,,,0.0,0.0,0.0,27.7,30.386,38.0,16072.0,solar2_v
2020-09-28,2020-09-28T00:00:00Z,629.0,629.0,23.0,,,0.444,2.071,,,,,0.0,0.0,0.0,28.7,31.207,36.8,16716.0,solar2_v
2020-09-29,2020-09-29T00:00:00Z,627.0,627.0,23.0,,,0.419,2.104,,,,,0.0,0.0,0.0,27.3,30.325,37.0,17475.0,solar2_v
2020-09-30,2020-09-30T00:00:00Z,701.0,701.0,24.0,,,0.451,1.809,,,,,0.0,0.0,0.0,29.1,33.203,40.7,18182.0,solar2_v
2020-10-01,2020-10-01T00:00:00Z,698.0,698.0,24.0,,,0.496,2.094,,,,,0.0,0.0,0.0,28.1,32.618,39.0,18889.0,solar2_v
2020-10-02,2020-10-02T00:00:00Z,689.0,689.0,24.0,,,0.391,2.105,,,,,0.0,0.0,0.0,28.7,31.599,40.2,19595.0,solar2_v
2020-10-03,2020-10-03T00:00:00Z,695.0,695.0,24.0,,,0.412,2.1,,,,,0.0,0.0,0.0,28.9,32.816,42.0,20302.0,solar2_v
2020-10-04,2020-10-04T00:00:00Z,694.0,694.0,24.0,,,0.456,1.912,,,,,0.0,0.0,0.0,27.2,32.289,40.7,21009.0,solar2_v
2020-10-05,2020-10-05T00:00:00Z,692.0,692.0,24.0,,,0.474,1.922,,,,,0.0,0.0,0.0,26.8,30.162,38.1,21716.0,solar2_v
2020-10-06,2020-10-06T00:00:00Z,679.0,679.0,24.0,,,0.486,1.925,,,,,0.0,0.0,0.0,29.3,31.877,37.2,22422.0,solar2_v
2020-10-07,2020-10-07T00:00:00Z,688.0,688.0,24.0,,,0.309,1.932,,,,,0.0,0.0,0.0,26.7,29.12,32.4,23129.0,solar2_v
2020-10-08,2020-10-08T00:00:00Z,685.0,685.0,24.0,,,0.384,2.046,,,,,0.0,0.0,0.0,27.3,30.377,37.8,23835.0,solar2_v
2020-10-09,2020-10-09T00:00:00Z,681.0,681.0,24.0,,,0.306,1.927,,,,,0.0,0.0,0.0,27.1,28.895,35.7,24522.0,solar2_v
2020-10-10,2020-10-10T00:00:00Z,260.0,260.0,10.0,,,0.925,1.887,,,,,0.0,0.0,0.0,27.3,39.045,59.9,101.0,solar2_v
2020-10-12,2020-10-12T00:00:00Z,335.0,335.0,12.0,,,0.0,0.0,,,,,0.0,0.0,0.0,30.1,31.758,34.0,339.0,solar2_v
2020-10-13,2020-10-13T00:00:00Z,674.0,674.0,24.0,,,0.407,1.941,,,,,0.0,0.0,0.0,27.2,30.617,39.1,1043.0,solar2_v
2020-10-14,2020-10-14T00:00:00Z,694.0,694.0,24.0,,,0.181,1.415,,,,,0.0,0.0,0.0,27.2,28.099,30.1,1749.0,solar2_v
