day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,power_w_avg,power_w_max,energy_wh,temp_c_min,temp_c_avg,temp_c_max,boot_count_max,scaled_channels
2020-05-30,2020-05-30T00:00:00Z,1.0,1.0,1.0,34.034,34.034,,,2.085,2.085,,,,,,,,,,"solar_v,battery_v"
2020-06-05,2020-06-05T00:00:00Z,858.0,858.0,19.0,2.675,15.171,,,1.861,12.699,,,,,,,,,866.0,"solar_v,battery_v"
2020-06-06,2020-06-06T00:00:00Z,1371.0,1371.0,24.0,6.264,14.081,,,10.565,13.113,,,,,,,,,2252.0,"solar_v,battery_v"
2020-06-07,2020-06-07T00:00:00Z,1383.0,1383.0,24.0,6.228,13.959,,,10.556,13.084,,,,,,,,,3637.0,"solar_v,battery_v"
2020-06-08,2020-06-08T00:00:00Z,690.0,690.0,12.0,12.471,15.124,,,10.894,14.353,,,,,,,,,4331.0,"solar_v,battery_v"
2020-06-09,2020-06-09T00:00:00Z,591.0,591.0,11.0,7.22,12.957,,,0.757,12.295,,,,,,,,,4141.0,"solar_v,battery_v"
2020-06-10,2020-06-10T00:00:00Z,1377.0,1377.0,24.0,11.055,13.897,735.0,735.0,11.423,13.047,,,,,,,,,4012.0,"solar_v,battery_v"
2020-06-11,2020-06-11T00:00:00Z,1383.0,1383.0,24.0,11.866,13.694,2236.086,12879.0,11.513,12.934,,,,,,,,,2341.0,"solar_v,battery_v"
2020-06-12,2020-06-12T00:00:00Z,881.0,881.0,16.0,12.195,13.709,6610.511,12944.0,11.723,12.934,,,,,,,,,3229.0,"solar_v,battery_v"
