day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,power_w_avg,power_w_max,energy_wh,temp_c_min,temp_c_avg,temp_c_max,scaled_channels
2022-01-01,2022-01-01T00:00:00Z,7.0,4.0,1.0,0.786,2.23,0.0,0.0,14.09,15.91,,,-2.26,0.0,-0.009,30.4,48.486,62.2,
2022-01-02,2022-01-02T00:00:00Z,6.0,3.0,1.0,0.373,0.97,0.0,0.0,14.1,15.67,,,-1.123,0.0,-0.004,31.0,47.133,62.7,
2022-01-03,2022-01-03T00:00:00Z,6.0,3.0,1.0,0.39,1.01,0.0,0.0,14.12,15.72,,,-1.18,0.0,-0.004,31.3,47.35,62.9,
2022-01-04,2022-01-04T00:00:00Z,5.0,3.0,1.0,0.386,1.0,0.0,0.0,14.2,15.72,,,-1.197,0.0,-0.003,30.0,49.14,62.4,
2022-01-05,2022-01-05T00:00:00Z,5.0,2.0,1.0,0.362,0.93,0.0,0.0,14.17,15.57,,,-1.106,0.0,-0.003,29.5,42.84,60.8,
2022-01-06,2022-01-06T00:00:00Z,5.0,3.0,1.0,0.476,1.17,0.0,0.0,14.23,15.96,,,-1.378,0.0,-0.004,29.6,48.5,61.7,
2022-01-07,2022-01-07T00:00:00Z,5.0,3.0,1.0,0.384,0.99,0.0,0.0,14.21,15.73,,,-1.15,0.0,-0.003,30.3,49.34,62.5,
2022-01-08,2022-01-08T00:00:00Z,6.0,3.0,1.0,0.43,1.11,0.0,0.0,14.17,15.83,,,-1.27,0.0,-0.004,29.5,45.633,61.5,
2022-01-09,2022-01-09T00:00:00Z,6.0,3.0,1.0,0.408,1.04,0.0,0.0,14.09,15.6,,,-1.247,0.0,-0.004,29.5,45.683,61.6,
2022-01-10,2022-01-10T00:00:00Z,6.0,3.0,1.0,0.398,1.02,0.0,0.0,14.14,15.72,,,-1.193,0.0,-0.004,29.8,46.1,61.7,
2022-01-17,2022-01-17T00:00:00Z,6.0,3.0,1.0,0.412,1.05,0.0,0.0,14.12,15.69,,,-1.24,0.0,-0.004,29.5,45.683,61.6,
2022-01-18,2022-01-18T00:00:00Z,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.09,14.09,,,0.0,0.0,0.0,29.0,29.0,29.0,
2022-01-19,2022-01-19T00:00:00Z,6.0,3.0,1.0,0.407,1.03,0.0,0.0,14.13,15.63,,,-1.242,0.0,-0.004,29.4,45.567,61.6,
2022-01-20,2022-01-20T00:00:00Z,5.0,2.0,2.0,0.432,0.93,0.0,0.0,14.15,15.5,,,-1.333,0.0,-0.003,29.1,45.458,60.8,
2022-01-23,2022-01-23T00:00:00Z,5.0,2.0,1.0,0.326,0.86,0.0,0.0,14.14,15.48,,,-1.014,0.0,-0.003,29.4,42.76,61.1,
2022-01-25,2022-01-25T00:00:00Z,5.0,2.0,1.0,0.35,0.93,0.0,0.0,14.17,15.6,,,-1.072,0.0,-0.003,29.7,43.22,61.3,
2022-01-26,2022-01-26T00:00:00Z,6.0,3.0,1.0,0.46,1.19,0.0,0.0,14.15,15.93,,,-1.33,0.0,-0.004,29.5,45.717,61.4,
2022-01-27,2022-01-27T00:00:00Z,6.0,3.0,1.0,0.402,1.01,0.0,0.0,14.1,15.6,,,-1.228,0.0,-0.004,29.3,45.483,61.3,
2022-01-28,2022-01-28T00:00:00Z,6.0,3.0,1.0,0.395,1.05,0.0,0.0,14.13,15.75,,,-1.182,0.0,-0.004,30.1,46.267,62.0,
2022-01-29,2022-01-29T00:00:00Z,5.0,2.0,2.0,0.258,0.82,0.0,0.0,14.14,15.47,,,-0.808,0.0,-0.003,29.7,41.1,61.6,
2022-01-30,2022-01-30T00:00:00Z,6.0,3.0,2.0,0.639,1.01,0.0,0.0,14.14,15.67,,,-1.834,0.0,-0.004,29.3,51.08,61.3,
2022-02-08,2022-02-08T00:00:00Z,7.0,4.0,2.0,0.513,0.98,0.0,0.0,14.06,15.65,,,-1.509,0.0,-0.004,30.9,52.565,62.9,
2022-02-20,2022-02-20T00:00:00Z,592.0,33.0,20.0,6.811,23.08,1.65,4.53,10.51,17.16,,,-39.308,0.0,-12.926,31.3,33.512,35.1,
2022-02-21,2022-02-21T00:00:00Z,669.0,0.0,24.0,7.898,21.18,3.233,12.22,10.42,15.39,,,-48.959,0.0,-16.907,31.9,34.25,36.3,
2022-02-22,2022-02-22T00:00:00Z,597.0,0.0,22.0,7.611,21.12,3.07,12.32,10.51,15.12,,,-48.256,0.0,-14.765,32.1,34.12,35.8,
